group;friendlyName;description;target;rights
ConfoundedlyGodlyTeacherships;ConfoundedlyGodlyTeacherships;Ingathers Markova to the safe deposits;ConfoundedlyGodlyTeachershipsSAFE DEPOSIT;RENAME,WRITE
NosilyUndischargedTamaracks;NosilyUndischargedTamaracks;Cross-indexes Venters to the suites;NosilyUndischargedTamaracksSUITE;LAUGH,WRITE,RENAME,STROKE
TruncatelySnuffyTribunates;TruncatelySnuffyTribunates;Swells Ferrule to the quarterss;TruncatelySnuffyTribunatesQUARTERS;RENAME,WRITE
GlissandoTimedVitellines;GlissandoTimedVitellines;Infers Vilayets to the suites;GlissandoTimedVitellinesSUITE;EXECUTE,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
FloutinglyGeomanticExonerators;FloutinglyGeomanticExonerators;Smears Foreigners to the treasure houses;FloutinglyGeomanticExoneratorsTREASURE HOUSE;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE
CylindricallyNicerNeurotomies;CylindricallyNicerNeurotomies;Stews Repetitiveness to the crypts;CylindricallyNicerNeurotomiesCRYPT;PUNCH,WRITE,RENAME,STROKE
StraightBackedStealthierInspectors;StraightBackedStealthierInspectors;Splutters Laundryman to the repositorys;StraightBackedStealthierInspectorsREPOSITORY;LAUGH,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW,READ,EXECUTE,FONDLE,ADJUST
SensiblyAdminicularBookishness;SensiblyAdminicularBookishness;Synonymises Swine influenza to the caches;SensiblyAdminicularBookishnessCACHE;STEW,WRITE
DistractivelyPharisaicRealms;DistractivelyPharisaicRealms;Headlines Entoderms to the warehouses;DistractivelyPharisaicRealmsWAREHOUSE;READ,WRITE,RENAME
AntipatheticallyTaintedDioestruses;AntipatheticallyTaintedDioestruses;Unrigs Apostasy to the suites;AntipatheticallyTaintedDioestrusesSUITE;PUNCH,WRITE,RENAME
BiradiallyHotUnderTheCollarAcrobats;BiradiallyHotUnderTheCollarAcrobats;Cerebrates Clefts to the storing places;BiradiallyHotUnderTheCollarAcrobatsSTORING PLACE;FIST,WRITE,RENAME,STROKE,PUNCH,OBSERVE,STEW
ReflectivelyWhackyTwigs;ReflectivelyWhackyTwigs;Descends Teutonisation to the safety deposits;ReflectivelyWhackyTwigsSAFETY DEPOSIT;WRITE
ConfidentiallyTriumphalPhoeniculus;ConfidentiallyTriumphalPhoeniculus;Pars Ruggedization to the lodgingss;ConfidentiallyTriumphalPhoeniculusLODGINGS;OBSERVE,WRITE
