groupName,groupId,description
HelpDesk,1,Masterfully Distichous Etchers and Engravers
VendorCare,776980,"First-hand Runaway Instructors, Adult Basic and Secondary Education"
DBAs,9415,Screamingly Federated Park Police
InvntryAnalysis,524942,Elementarily Bodily Fire Claims Adjusters
Buyer,6,"Capably Commensal Teachers, Art, Postsecondary"
ProcureAnalysis,154619,"Capably Commensal Teachers, Art, Postsecondary"
sysadmin,1231,"Villainously Doggish Coating Machine Operators, Metal and Plastic"
UnixAdministration,8038,"Thenceforward Transmigrant Installers, Gas Furnace"
TaxAccting,42,Selfishly Smothering Veterinary Laboratory Technicians
Treasury,336914,"In line Haemal Teachers, Atmospheric Sciences, Postsecondary"
FinancialAnalyis,53,"Unintelligently Lynx-eyed Teachers, Communications, Postsecondary"
ENG_Stage,1600,"Incurably Out-of-school Editors, Technical"
ReceivAnalysis,7,"Exquisitely Magian Tenders, Separating machine"
Administrators,067051,"Atmospherically Xenogeneic Models, Photographer's"
SecurityAnalysis,2992,"Lugubriously Venezuelan Teachers, Mathematical Science, Postsecondary"
Cost/SavingsAnalysis,7,Vengefully Bulbaceous Track Patrol
DataArchive,10342,"Lugubriously Venezuelan Teachers, Mathematical Science, Postsecondary"
Cost/SavingsAnalysis,80002,"Endemically Swaggering Attendants, Costume"
SecCompliance,447213,"First-hand Runaway Instructors, Adult Basic and Secondary Education"
FinancialAnalyis,8921,Unmanageably Unembarrassed Marine Chronometer Assemblers
AcctsPayable,8256,Vengefully Bulbaceous Track Patrol
campusAccess,921014,From head to toe Eightfold Couriers
TR-Hedge,754,"Capably Commensal Teachers, Art, Postsecondary"
QualityAssurance,75928,Vengefully Bulbaceous Track Patrol
AcctsPayable,83921,"Volumetrically Divalent Postsecondary Teachers, Miscellaneous"
HelpDesk,46331,"Respectfully Concave Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
AuditMgmt,67752,"Instinctually Oversize Servicers, ATM"
Telecom,024160,"Wooingly Laticiferous Technicians, Cardiovascular"
RelationsLead,83205,"First-hand Runaway Instructors, Adult Basic and Secondary Education"
DPA,411,"Just as Distracted Technicians, Clinical Laboratory"
ENG_Internal,11,Masochistically Arterial Venipuncturists
GlobalComm,23,"Simply Extrinsic Assistants, Legal Administrative"
customerDataCenter,259518,"Endemically Swaggering Attendants, Costume"
CompCommittee,27965,Breadthwise Starved Construction and Extraction Occupations
PayrollAnalysis,849445,Unconquerably Prandial Multimedia Animators
TR-Currency,969,Elementarily Bodily Fire Claims Adjusters
InvntryAnalysis,06,Downhill Piping Marine Structural Designers
Strategy&Planning,58550,"Apodeictically Unchained Arbitrators, Mediators, and Conciliators"
PayrollAnalyis,75358,On base Dreary Structural Drafters
InventoryMgmt,493,Serenely Dibranchiate Grinding Machine Tenders
Benefits,45389,"Legislatively Belowground Supervisors, Recreation Attendant"
Users,700,Irrecoverably Predictive Wood Planers
PlanReview,712613,Upriver Restful First-Line Supervisors of Food Serving Workers
Treasury,8154,"Irresistibly Captivating Painters, Railroad Car"
Treasury,5726,"Automorphically Soppiest Repairers, Telescope"
Administrators,888120,Outstation Null Broadcast Engineers
ProcureAnalysis,30,Staring Censured Administrative Clerks
TaxAccting,15980,Importunely Intranational Occupational Therapist Aides
UnixAdministration,2896,"Exquisitely Magian Tenders, Separating machine"
GlobalComm,72,"Lugubriously Venezuelan Teachers, Mathematical Science, Postsecondary"
DPA,04544,Unconquerably Lumpiest Painting Machine Operators
TaxAccting,621879,"Transiently Jubilant Geographers, GIS"
Benefits,463,For free Overstuffed American Sign Language Interpreters
ENG_Mgmt,512,"Progressively Unreal Clerks, Safety Deposit"
InternalAudit,3711,Answerably Figured Transportation Planners
DPA,14772,Day by day Downward-arching Gyroscope Repairers
SecurityAnalysis,2,"Spitefully Pestalozzian Nurses, Registered"
TCOMControls,916,"Impavidly Affectioned Registered Nurses, Hospice"
RelationsLead,41138,Populously Soritical Billboard Posters
AcctsReceivable,3,On base Dreary Structural Drafters
customerDataCenter,793059,In concert Untrue Financial Compliance Examiners
customerDataCenter,228,"Humbly Exculpatory Coaches, Football"
Employment,48138,"Only Combustion Players, Proposition"
