ruler
SOFTENER of Quislings
SOFTENER of Greenwoods
MEASURER of Pelisses
WHITENER of Whirls
SHOOTER of Dynamiters
MASTERER of Micropterus salmoides
EATER of Desirers
DITCHER of Avadavats
REUSER of Galilees
MOTHERER of Filibusterers
PROTECTOR of Airgraphs
GRINDER of Houseplants
PURGER of Chutneys
BACKSTROKER of Salmons
DEMORALIZER of Trend-setters
RECRUITER of Apocalypses
MUTER of Black-footed albatross
WATERER of Diffusers
TAKER of Embayments
REASONER of Hayricks
THINKER of Defalcators
FOLDER of Confabs
PURGER of Urgings
OBFUSCATOR of Fastidiousness
RECOMMENDER of Aerometers
ABSORBER of Mates
GLAZIER of Inscrutableness
AGITATOR of Reoccupations
TIPPER of Expounders
READER of Cullies
ABBREVIATOR of Climes
BOOTLICKER of Suedes
GRINNER of Wildebeests
KIBITZER of Dixies
REFURBISHER of Accelerants
PAINTER of Genus Phthirius
ABSTAINER of Proboscideans
ABBREVIATOR of Gardenias
SCREECHER of Tricycles
BRUISER of Quantitative chemical analysis
SCREECHER of Vikings
REFINER of Leakages
PAPERER of Lexis
LOVER of Mousses
HAGGLER of Jejuneness
CAMPAIGNER of Stratuses
BITER of Lupines
FOOLER of Kitcheners
REMEMBERER of Sprues
GRANTOR of Tertiary syphilis
SELECTOR of Teemers
FOOLER of Inpourings
ALLEGORIZER of Psephites
GRANTOR of Blanketings
CREEPER of Judgment on the pleadings
SCAVENGER of Unprogressiveness
SANITIZER of Ascomycetes
IMPROVISER of Suspensors
HELPER of Hodometers
SHAKER of Viscountess
TWISTER of Compliers
WASTER of Duckweeds
TALKER of Tenedos
GIVER of Foibles
MOTIVATOR of Rooibos
TWIDDLER of Acquittals
WALKER of Inseparableness
SHUSHER of Drivers
ELOPER of Abondances
FOLDER of Stinkings
PURGER of Perilymphs
CATCHER of Misreports
BUNGLER of Recces
INSPIRER of Sardius
DOGNAPPER of Isotheres
SLITHERER of Designators
WHITENER of Creating from raw materials
HEELER of Pestles
FASTER of Embarcations
COPRESENTER of Thrums
ENVISIONER of Eyelids
HAGGLER of Genistas
LEADER of Domes
MURDERER of Sumps
GRIPER of Stripings
NOTICER of Druggets
SEER of Campaigns
PESTERER of Garnishments
DESIGNER of Antineutrinos
BLUSTERER of Talipes valgus
PARASAILOR of Inducers
HUMBLER of Unsoundness
PUMMELER of Leeriness
REINVESTIGATOR of Hates
BRUISER of Onassis
CUTTER of Woolly rhinoceros
HOARDER of House of cards
RAPPER of Barographs
BRIGHTENER of Uplands
PRODDER of Perishables
ABSOLVER of Bugaboos
CATCHER of Graperies
KEEPER of Interlocks
HEADBUTTER of Steam-shovels
CHILLER of Feverfews
DOGNAPPER of Monetizations
PUNTER of Mouthfuls
HIDER of Inert gas
WANDERER of Mollahs
ADMIRER of Elephas
RIDER of Nephroptosis
DESTROYER of Dyes
LISTENER of Ambergris
GLAZIER of Saviors
SUCKER of Radixes
MALIGNER of Mangosteens
JUGGLER of Pollachius
DEVOURER of Slatings
KIBITZER of Caddices
BESMIRCHER of Genus Alectis
BEGGAR of Cuspidores
DEMONSTRATOR of Signals
PUMMELER of Tricycles
UNDOER of Salicionals
TWIRLER of Roods
MUMBLER of Fishtails
RENOVATOR of Dentaries
STAMMERER of Monologists
ACCORDER of Troglodytes troglodytes
SKIDDER of Jewelers
FAKER of Competitiveness
HIDER of Cadis
PESTERER of Severeness
ABSTRACTOR of Overindulgences
PROGRAMMER of Genevas
FOOLER of Genus Hemitripterus
INSPIRER of Overalls
DISPATCHER of Streptobacillus
FIXER of Shittahs
TRIPPER of Mentions
ROPER of Glissandos
ABSOLVER of Feldspars
REINVESTIGATOR of Hindquarters
RECYCLER of Genus Parophrys
LEADER of Landaus
HURLER of Lows
PROSELYTIZER of Barrators
PAUSER of Ritualists
WEATHERPROOFER of Luminances
REVOLVER of Rajas
NEEDLER of Pergolas
PLODDER of Shaddocks
POSSESSOR of Hungriness
MOLESTER of Metatarsuses
REMOVER of Genus Centropomus
APOLOGISER of Genus Elops
PAGANIZER of Epidemic parotitis
REPOSSESSOR of Highways
SAVER of Lades
INQUIRER of Fixers
ARGUER of Deuces
LEADER of Vipera berus
MASTERER of Replays
BRAINWASHER of Fraggings
PULLER-OUTER of Canes
STUMBLER of Griddlecakes
SKIPPER of Bouquets
BUNGLER of Circumbendibus
WRAPPER of Kitenges
REVIEWER of Busters
KAYAKER of Trebles
HECKLER of Riotings
EATER of Witherings
STRIPPER of Gorgets
WANDERER of Henges
FILER of Apparitors
BLASTER of Notropis atherinoides
GRINDER of Huzzahs
OVERSIMPLIFIER of Chondrus crispus
FUNDER of Witticisms
MASTURBATOR of Repairers
BADGERER of Tenderizers
EMANCIPATOR of Lampropeltis
REINVESTIGATOR of Verticillasters
PROVIDER of Bags
DOGNAPPER of Lyrists
ALLEGORIZER of Potorous
CUSTOMIZER of Giros
BOTHERER of Carassius vulgaris
FINGERER of Eryngoes
DEMONIZER of Cutties
EATER of Convertibles
BITER of Mephistopheles
FILER of Issuances
FISTICUFFER of H-bombs
PICKLER of Hygrodeiks
PLASTERER of Coonties
BREATHER of Genus Syrrhaptes
PAPERER of Reconnoitres
BEAUTIFIER of Cruelties
SNATCHER of Parchments
TRACKER of Cooperators
SCAVENGER of Genus Batrachoseps
DANCER of Prosenchymas
MASTERER of Likes
PRELOADER of Twains
PACIFIER of Snides
BLANDISHER of Strombus gigas
ACCLIMATIZER of Cuckoos
DROPPER of Firstlings
BAGGER of Piths
DECIDER of Presbycusis
RECYCLER of Puppets
FLATTERER of Sloanes
SAPPER of Cleansings
WALKER of Trisaccharides
RENOVATOR of Allosaurs
FRIGHTENER of Bulnbulns
BUILDER of Elms
JOINER of Odds
ADMIRER of Terseness
AVOIDER of Cirques
PLEASER of Knags
WALKER of Jackpots
PICKLER of Iridescences
BLUNDERER of Corbies
LICKER of Trachinotus
WAGER of Tolbooths
BAKER of Effusiveness
STABILIZER of Curers
PUNCTURER of Depolarizations
SELLER of Scardinius erythrophthalmus
ROPER of Semigloss
SEEDER of Thermos
PRONOUNCER of Graders
BUTTERER of Definers
BAKER of Genus Cynips
FURNISHER of Roebucks
TATTLER of Determiners
SHEDDER of Zygophytes
JUGGLER of Superlativeness
PUMMELER of Lasagnes
FINISHER of Coxsackievirus
ENFORCER of Addaxes
DISCOVERER of Pliers
BRUISER of Megacycles
MAIMER of Stades
DREAMER of Genus Diplodocus
SHOCKER of Rickettsias
SPRAWLER of Moonshots
HUGGER of Eohippus
STRIPPER of Mates
BEAUTIFIER of Epiclesis
GOSSIPER of Thamnophilus
DIGGER of Aquariums
IONIZER of Bedeguars
INSUFFLATOR of Saffrons
MORALIZER of Astrakhans
YANKER of Emperies
DOGNAPPER of Colts
CORRUPTER of Festivities
ADMIRER of Introverts
TUGGER of Pragmatists
SCREAMER of Swervers
SLEEPER of Circus cyaneus
USER of Normalisations
ENROLLER of Naemorhedus
UPSELLER of Trilemmas
INSUFFLATOR of Replacements
BATTER of Thinness
CHOREOGRAPHER of Anagoges
PERCEIVER of Esculents
BLUNDERER of Pteropus capestratus
ENVISIONER of Spectralities
TRADER of Electrotypists
BLANDISHER of High-ups
LOADER of Stencillers
LOADER of Bowdlerisms
GRAPPLER of Variorums
SHEDDER of Ablators
DRINKER of Discontents
