Career Pathway,Code,Occupation
Construction,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
Construction,47-2021.00,Brickmasons and Blockmasons
Construction,47-2031.00,Carpenters
Construction,47-2041.00,Carpet Installers
Construction,47-2051.00,Cement Masons and Concrete Finishers
Construction,53-2012.00,Commercial Pilots
Construction,47-4011.00,Construction and Building Inspectors
Construction,47-4099.00,"Construction and Related Workers, All Other"
Construction,47-2031.01,Construction Carpenters
Construction,47-2061.00,Construction Laborers
Construction,11-9021.00,Construction Managers
Construction,47-5041.00,Continuous Mining Machine Operators
Construction,53-7011.00,Conveyor Operators and Tenders
Construction,13-1051.00,Cost Estimators
Construction,53-7021.00,Crane and Tower Operators
Construction,47-5011.00,"Derrick Operators, Oil and Gas"
Construction,53-7031.00,Dredge Operators
Construction,47-2081.00,Drywall and Ceiling Tile Installers
Construction,47-5021.00,"Earth Drillers, Except Oil and Gas"
Construction,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
Construction,49-9051.00,Electrical Power-Line Installers and Repairers
Construction,47-2111.00,Electricians
Construction,51-2023.00,Electromechanical Equipment Assemblers
Construction,47-4021.00,Elevator Installers and Repairers
Construction,17-3029.00,"Engineering Technicians, Except Drafters, All Other"
Construction,53-7032.00,Excavating and Loading Machine and Dragline Operators
Construction,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
Construction,47-5099.00,"Extraction Workers, All Other"
Construction,47-4031.00,Fence Erectors
Construction,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
Construction,53-2031.00,Flight Attendants
Construction,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
Construction,47-2043.00,Floor Sanders and Finishers
Construction,47-2121.00,Glaziers
Construction,47-4041.00,Hazardous Materials Removal Workers
Construction,49-9021.01,Heating and Air Conditioning Mechanics and Installers
Construction,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
Construction,47-3019.00,"Helpers, Construction Trades, All Other"
Construction,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
Construction,47-3012.00,Helpers--Carpenters
Construction,47-3013.00,Helpers--Electricians
Construction,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
Construction,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
Construction,47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
Construction,47-3016.00,Helpers--Roofers
Construction,47-4051.00,Highway Maintenance Workers
Construction,53-7041.00,Hoist and Winch Operators
Construction,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
Construction,47-2132.00,"Insulation Workers, Mechanical"
Construction,49-9071.00,"Maintenance and Repair Workers, General"
Construction,49-9095.00,Manufactured Building and Mobile Home Installers
Construction,47-5042.00,Mine Cutting and Channeling Machine Operators
Construction,47-5049.00,"Mining Machine Operators, All Other"
Construction,47-2073.00,Operating Engineers and Other Construction Equipment Operators
Construction,47-2141.00,"Painters, Construction and Maintenance"
Construction,47-2142.00,Paperhangers
Construction,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
Construction,47-2072.00,Pile-Driver Operators
Construction,47-2152.01,Pipe Fitters and Steamfitters
Construction,47-2151.00,Pipelayers
Construction,47-2161.00,Plasterers and Stucco Masons
Construction,47-2152.02,Plumbers
Construction,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
Construction,53-4099.00,"Rail Transportation Workers, All Other"
Construction,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
Construction,53-4031.00,Railroad Conductors and Yardmasters
Construction,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
Construction,49-9021.02,Refrigeration Mechanics and Installers
Construction,47-2171.00,Reinforcing Iron and Rebar Workers
Construction,49-9096.00,Riggers
Construction,47-2181.00,Roofers
Construction,47-5012.00,"Rotary Drill Operators, Oil and Gas"
Construction,47-2031.02,Rough Carpenters
Construction,49-2098.00,Security and Fire Alarm Systems Installers
Construction,47-4091.00,Segmental Pavers
Construction,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
Construction,47-2211.00,Sheet Metal Workers
Construction,49-9097.00,Signal and Track Switch Repairers
Construction,19-3099.00,"Social Scientists and Related Workers, All Other"
Construction,19-3041.00,Sociologists
Construction,25-1067.00,"Sociology Teachers, Postsecondary"
Construction,47-1011.03,Solar Energy Installation Managers
Construction,47-2231.00,Solar Photovoltaic Installers
Construction,47-4099.02,Solar Thermal Installers and Technicians
Construction,51-8021.00,Stationary Engineers and Boiler Operators
Construction,47-2022.00,Stonemasons
Construction,47-2221.00,Structural Iron and Steel Workers
Construction,51-2041.00,Structural Metal Fabricators and Fitters
Construction,53-4041.00,Subway and Streetcar Operators
Construction,47-2082.00,Tapers
Construction,47-2053.00,Terrazzo Workers and Finishers
Construction,47-2044.00,Tile and Marble Setters
Construction,47-4099.03,Weatherization Installers and Technicians
Construction,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
Construction,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
Design/Pre-Construction,17-1011.00,"Architects, Except Landscape and Naval"
Design/Pre-Construction,17-3011.00,Architectural and Civil Drafters
Design/Pre-Construction,11-9041.00,Architectural and Engineering Managers
Design/Pre-Construction,17-3011.01,Architectural Drafters
Design/Pre-Construction,25-1031.00,"Architecture Teachers, Postsecondary"
Design/Pre-Construction,17-1021.00,Cartographers and Photogrammetrists
Design/Pre-Construction,17-3011.02,Civil Drafters
Design/Pre-Construction,17-3022.00,Civil Engineering Technicians
Design/Pre-Construction,17-2051.00,Civil Engineers
Design/Pre-Construction,17-3019.00,"Drafters, All Other"
Design/Pre-Construction,17-3012.00,Electrical and Electronics Drafters
Design/Pre-Construction,17-3012.02,Electrical Drafters
Design/Pre-Construction,17-3012.01,Electronic Drafters
Design/Pre-Construction,25-1032.00,"Engineering Teachers, Postsecondary"
Design/Pre-Construction,17-3029.00,"Engineering Technicians, Except Drafters, All Other"
Design/Pre-Construction,17-2199.00,"Engineers, All Other"
Design/Pre-Construction,19-3093.00,Historians
Design/Pre-Construction,27-1025.00,Interior Designers
Design/Pre-Construction,17-1012.00,Landscape Architects
Design/Pre-Construction,17-3013.00,Mechanical Drafters
Design/Pre-Construction,15-2031.00,Operations Research Analysts
Design/Pre-Construction,15-1133.00,"Software Developers, Systems Software"
Design/Pre-Construction,17-3031.00,Surveying and Mapping Technicians
Design/Pre-Construction,17-3031.01,Surveying Technicians
Design/Pre-Construction,17-1022.00,Surveyors
Maintenance/Operations,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
Maintenance/Operations,47-4099.00,"Construction and Related Workers, All Other"
Maintenance/Operations,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
Maintenance/Operations,49-9099.01,Geothermal Technicians
Maintenance/Operations,49-9021.01,Heating and Air Conditioning Mechanics and Installers
Maintenance/Operations,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
Maintenance/Operations,47-4051.00,Highway Maintenance Workers
Maintenance/Operations,49-9031.00,Home Appliance Repairers
Maintenance/Operations,37-3011.00,Landscaping and Groundskeeping Workers
Maintenance/Operations,49-9011.00,Mechanical Door Repairers
