Career Pathway,Code,Occupation
Audio and Video Technology and Film,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
Audio and Video Technology and Film,25-4011.00,Archivists
Audio and Video Technology and Film,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
Audio and Video Technology and Film,27-1019.00,"Artists and Related Workers, All Other"
Audio and Video Technology and Film,27-4011.00,Audio and Video Equipment Technicians
Audio and Video Technology and Film,27-4012.00,Broadcast Technicians
Audio and Video Technology and Film,49-9061.00,Camera and Photographic Equipment Repairers
Audio and Video Technology and Film,27-4031.00,"Camera Operators, Television, Video, and Motion Picture"
Audio and Video Technology and Film,27-2032.00,Choreographers
Audio and Video Technology and Film,27-1021.00,Commercial and Industrial Designers
Audio and Video Technology and Film,15-1131.00,Computer Programmers
Audio and Video Technology and Film,27-1012.00,Craft Artists
Audio and Video Technology and Film,25-4012.00,Curators
Audio and Video Technology and Film,27-2031.00,Dancers
Audio and Video Technology and Film,27-4032.00,Film and Video Editors
Audio and Video Technology and Film,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
Audio and Video Technology and Film,27-1024.00,Graphic Designers
Audio and Video Technology and Film,19-3093.00,Historians
Audio and Video Technology and Film,11-9199.00,"Managers, All Other"
Audio and Video Technology and Film,27-4099.00,"Media and Communication Equipment Workers, All Other"
Audio and Video Technology and Film,27-3099.00,"Media and Communication Workers, All Other"
Audio and Video Technology and Film,27-1014.00,Multimedia Artists and Animators
Audio and Video Technology and Film,25-4013.00,Museum Technicians and Conservators
Audio and Video Technology and Film,27-4021.00,Photographers
Audio and Video Technology and Film,27-1027.00,Set and Exhibit Designers
Audio and Video Technology and Film,27-4014.00,Sound Engineering Technicians
Audio and Video Technology and Film,27-2012.05,Technical Directors/Managers
Journalism and Broadcasting,27-4011.00,Audio and Video Equipment Technicians
Journalism and Broadcasting,27-3021.00,Broadcast News Analysts
Journalism and Broadcasting,27-4012.00,Broadcast Technicians
Journalism and Broadcasting,27-4031.00,"Camera Operators, Television, Video, and Motion Picture"
Journalism and Broadcasting,25-1122.00,"Communications Teachers, Postsecondary"
Journalism and Broadcasting,27-3043.04,Copy Writers
Journalism and Broadcasting,23-2091.00,Court Reporters
Journalism and Broadcasting,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio"
Journalism and Broadcasting,27-3041.00,Editors
Journalism and Broadcasting,25-1123.00,"English Language and Literature Teachers, Postsecondary"
Journalism and Broadcasting,27-4032.00,Film and Video Editors
Journalism and Broadcasting,27-3099.00,"Media and Communication Workers, All Other"
Journalism and Broadcasting,27-4021.00,Photographers
Journalism and Broadcasting,27-3043.05,"Poets, Lyricists and Creative Writers"
Journalism and Broadcasting,25-1199.00,"Postsecondary Teachers, All Other"
Journalism and Broadcasting,27-2012.01,Producers
Journalism and Broadcasting,27-2012.00,Producers and Directors
Journalism and Broadcasting,27-2012.03,Program Directors
Journalism and Broadcasting,27-3012.00,Public Address System and Other Announcers
Journalism and Broadcasting,27-3011.00,Radio and Television Announcers
Journalism and Broadcasting,27-4013.00,Radio Operators
Journalism and Broadcasting,27-3022.00,Reporters and Correspondents
Journalism and Broadcasting,27-4014.00,Sound Engineering Technicians
Journalism and Broadcasting,27-2012.04,Talent Directors
Journalism and Broadcasting,27-2012.05,Technical Directors/Managers
Journalism and Broadcasting,27-3042.00,Technical Writers
Journalism and Broadcasting,27-3043.00,Writers and Authors
Performing Arts,27-2011.00,Actors
Performing Arts,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary"
Performing Arts,27-1019.00,"Artists and Related Workers, All Other"
Performing Arts,27-4031.00,"Camera Operators, Television, Video, and Motion Picture"
Performing Arts,27-2032.00,Choreographers
Performing Arts,27-1012.00,Craft Artists
Performing Arts,27-2031.00,Dancers
Performing Arts,27-1029.00,"Designers, All Other"
Performing Arts,27-2012.02,"Directors- Stage, Motion Pictures, Television, and Radio"
Performing Arts,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other"
Performing Arts,27-4032.00,Film and Video Editors
Performing Arts,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators"
Performing Arts,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
Performing Arts,39-5091.00,"Makeup Artists, Theatrical and Performance"
Performing Arts,11-9199.00,"Managers, All Other"
Performing Arts,27-2041.04,Music Composers and Arrangers
Performing Arts,27-2041.01,Music Directors
Performing Arts,27-2041.00,Music Directors and Composers
Performing Arts,27-2042.00,Musicians and Singers
Performing Arts,27-2042.02,"Musicians, Instrumental"
