Career Pathway,Code,Occupation
Administrative and Information Support,43-5011.00,Cargo and Freight Agents
Administrative and Information Support,43-9011.00,Computer Operators
Administrative and Information Support,43-4021.00,Correspondence Clerks
Administrative and Information Support,43-5021.00,Couriers and Messengers
Administrative and Information Support,43-4031.01,Court Clerks
Administrative and Information Support,23-2091.00,Court Reporters
Administrative and Information Support,43-4031.00,"Court, Municipal, and License Clerks"
Administrative and Information Support,43-4051.00,Customer Service Representatives
Administrative and Information Support,43-9021.00,Data Entry Keyers
Administrative and Information Support,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Administrative and Information Support,43-4071.00,File Clerks
Administrative and Information Support,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
Administrative and Information Support,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping"
Administrative and Information Support,43-4199.00,"Information and Record Clerks, All Other"
Administrative and Information Support,43-9041.00,Insurance Claims and Policy Processing Clerks
Administrative and Information Support,43-9041.01,Insurance Claims Clerks
Administrative and Information Support,43-9041.02,Insurance Policy Processing Clerks
Administrative and Information Support,43-4111.00,"Interviewers, Except Eligibility and Loan"
Administrative and Information Support,43-6012.00,Legal Secretaries
Administrative and Information Support,43-4121.00,"Library Assistants, Clerical"
Administrative and Information Support,43-4031.03,License Clerks
Administrative and Information Support,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
Administrative and Information Support,43-6013.00,Medical Secretaries
Administrative and Information Support,43-4031.02,Municipal Clerks
Administrative and Information Support,43-4141.00,New Accounts Clerks
Administrative and Information Support,43-9199.00,"Office and Administrative Support Workers, All Other"
Administrative and Information Support,43-9061.00,"Office Clerks, General"
Administrative and Information Support,43-9071.00,"Office Machine Operators, Except Computer"
Administrative and Information Support,43-4151.00,Order Clerks
Administrative and Information Support,43-5081.04,"Order Fillers, Wholesale and Retail Sales"
Administrative and Information Support,43-5051.00,Postal Service Clerks
Administrative and Information Support,43-5052.00,Postal Service Mail Carriers
Administrative and Information Support,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
Administrative and Information Support,43-3061.00,Procurement Clerks
Administrative and Information Support,27-3031.00,Public Relations Specialists
Administrative and Information Support,43-4171.00,Receptionists and Information Clerks
Administrative and Information Support,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
