Career Pathway,Code,Occupation
Administration and Administrative Support,27-2022.00,Coaches and Scouts
Administration and Administrative Support,11-9039.01,Distance Learning Coordinators
Administration and Administrative Support,11-9039.00,"Education Administrators, All Other"
Administration and Administrative Support,11-9032.00,"Education Administrators, Elementary and Secondary School"
Administration and Administrative Support,11-9033.00,"Education Administrators, Postsecondary"
Administration and Administrative Support,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program"
Administration and Administrative Support,11-9039.02,Fitness and Wellness Coordinators
Administration and Administrative Support,39-9031.00,Fitness Trainers and Aerobics Instructors
Administration and Administrative Support,25-9031.00,Instructional Coordinators
Administration and Administrative Support,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
Administration and Administrative Support,13-1041.07,Regulatory Affairs Specialists
Professional Support Services,25-9011.00,Audio-Visual and Multimedia Collections Specialists
Professional Support Services,19-3031.00,"Clinical, Counseling, and School Psychologists"
Professional Support Services,21-1012.00,"Educational, Guidance, School, and Vocational Counselors"
Professional Support Services,25-9031.01,Instructional Designers and Technologists
Professional Support Services,25-4021.00,Librarians
Professional Support Services,43-4121.00,"Library Assistants, Clerical"
Professional Support Services,25-1082.00,"Library Science Teachers, Postsecondary"
Professional Support Services,25-4031.00,Library Technicians
Professional Support Services,25-1199.00,"Postsecondary Teachers, All Other"
Professional Support Services,19-3031.01,School Psychologists
Teaching/Training,25-2059.01,Adapted Physical Education Specialists
Teaching/Training,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors
Teaching/Training,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
Teaching/Training,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
Teaching/Training,25-1031.00,"Architecture Teachers, Postsecondary"
Teaching/Training,25-4011.00,Archivists
Teaching/Training,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Teaching/Training,27-2021.00,Athletes and Sports Competitors
Teaching/Training,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
Teaching/Training,25-1042.00,"Biological Science Teachers, Postsecondary"
Teaching/Training,25-1011.00,"Business Teachers, Postsecondary"
Teaching/Training,25-2023.00,"Career/Technical Education Teachers, Middle School"
Teaching/Training,25-2032.00,"Career/Technical Education Teachers, Secondary School"
Teaching/Training,25-1052.00,"Chemistry Teachers, Postsecondary"
Teaching/Training,27-2022.00,Coaches and Scouts
Teaching/Training,25-1122.00,"Communications Teachers, Postsecondary"
Teaching/Training,25-1021.00,"Computer Science Teachers, Postsecondary"
Teaching/Training,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Teaching/Training,25-4012.00,Curators
Teaching/Training,29-1031.00,Dietitians and Nutritionists
Teaching/Training,25-1063.00,"Economics Teachers, Postsecondary"
Teaching/Training,25-1081.00,"Education Teachers, Postsecondary"
Teaching/Training,25-2021.00,"Elementary School Teachers, Except Special Education"
Teaching/Training,25-1032.00,"Engineering Teachers, Postsecondary"
Teaching/Training,25-1123.00,"English Language and Literature Teachers, Postsecondary"
Teaching/Training,25-1053.00,"Environmental Science Teachers, Postsecondary"
Teaching/Training,39-9031.00,Fitness Trainers and Aerobics Instructors
Teaching/Training,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
Teaching/Training,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
Teaching/Training,25-1064.00,"Geography Teachers, Postsecondary"
Teaching/Training,25-1191.00,Graduate Teaching Assistants
Teaching/Training,25-1071.00,"Health Specialties Teachers, Postsecondary"
Teaching/Training,19-3093.00,Historians
Teaching/Training,25-1125.00,"History Teachers, Postsecondary"
Teaching/Training,49-9031.00,Home Appliance Repairers
Teaching/Training,25-1192.00,"Home Economics Teachers, Postsecondary"
Teaching/Training,25-9031.00,Instructional Coordinators
Teaching/Training,27-3091.00,Interpreters and Translators
Teaching/Training,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
