Career Pathway,Code,Occupation
Governance,11-3011.00,Administrative Services Managers
Governance,27-3021.00,Broadcast News Analysts
Governance,11-1011.00,Chief Executives
Governance,25-1122.00,"Communications Teachers, Postsecondary"
Governance,43-4061.00,"Eligibility Interviewers, Government Programs"
Governance,11-9161.00,Emergency Management Directors
Governance,11-1021.00,General and Operations Managers
Governance,11-1031.00,Legislators
Governance,11-9199.00,"Managers, All Other"
Governance,17-3031.02,Mapping Technicians
Governance,25-1065.00,"Political Science Teachers, Postsecondary"
Governance,19-3094.00,Political Scientists
Governance,11-9131.00,Postmasters and Mail Superintendents
Governance,27-3031.00,Public Relations Specialists
Governance,27-3022.00,Reporters and Correspondents
Governance,11-9151.00,Social and Community Service Managers
Governance,11-3071.02,Storage and Distribution Managers
Governance,17-3031.00,Surveying and Mapping Technicians
Governance,17-3031.01,Surveying Technicians
Governance,11-3071.01,Transportation Managers
Governance,11-3071.00,"Transportation, Storage, and Distribution Managers"
National Security,55-3011.00,Air Crew Members
National Security,55-1011.00,Air Crew Officers
National Security,55-1012.00,Aircraft Launch and Recovery Officers
National Security,55-3012.00,Aircraft Launch and Recovery Specialists
National Security,55-3013.00,Armored Assault Vehicle Crew Members
National Security,55-1013.00,Armored Assault Vehicle Officers
National Security,55-3014.00,Artillery and Missile Crew Members
National Security,55-1014.00,Artillery and Missile Officers
National Security,55-1015.00,Command and Control Center Officers
National Security,55-3015.00,Command and Control Center Specialists
National Security,55-2011.00,First-Line Supervisors of Air Crew Members
National Security,55-2012.00,First-Line Supervisors of Weapons Specialists/Crew Members
National Security,55-3016.00,Infantry
National Security,55-1016.00,Infantry Officers
National Security,55-3017.00,Radar and Sonar Technicians
National Security,55-3018.00,Special Forces
National Security,55-1017.00,Special Forces Officers
Planning,11-9041.00,Architectural and Engineering Managers
Planning,25-1031.00,"Architecture Teachers, Postsecondary"
Planning,19-4061.01,City and Regional Planning Aides
Planning,19-2041.01,Climate Change Analysts
Planning,19-3011.00,Economists
Planning,43-4111.00,"Interviewers, Except Eligibility and Loan"
Planning,25-1065.00,"Political Science Teachers, Postsecondary"
Planning,43-9111.00,Statistical Assistants
Planning,19-3051.00,Urban and Regional Planners
Public Management and Administration,43-4031.01,Court Clerks
Public Management and Administration,43-4031.00,"Court, Municipal, and License Clerks"
Public Management and Administration,43-4061.00,"Eligibility Interviewers, Government Programs"
Public Management and Administration,43-4031.03,License Clerks
Public Management and Administration,11-9199.00,"Managers, All Other"
Public Management and Administration,43-4031.02,Municipal Clerks
Public Management and Administration,43-5051.00,Postal Service Clerks
Public Management and Administration,43-5052.00,Postal Service Mail Carriers
Public Management and Administration,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
Public Management and Administration,11-9131.00,Postmasters and Mail Superintendents
Public Management and Administration,11-9151.00,Social and Community Service Managers
Regulation,13-1041.00,Compliance Officers
Regulation,47-4011.00,Construction and Building Inspectors
Regulation,13-1041.06,Coroners
Regulation,33-3021.00,Detectives and Criminal Investigators
Regulation,13-1041.03,Equal Opportunity Representatives and Officers
Regulation,13-2061.00,Financial Examiners
Regulation,13-1041.04,Government Property Inspectors and Investigators
Regulation,13-1041.02,Licensing Examiners and Inspectors
Regulation,43-5041.00,"Meter Readers, Utilities"
Regulation,53-6051.00,Transportation Inspectors
Revenue and Taxation,13-2011.00,Accountants and Auditors
Revenue and Taxation,13-2021.00,Appraisers and Assessors of Real Estate
Revenue and Taxation,13-2021.01,Assessors
Revenue and Taxation,13-2061.00,Financial Examiners
Revenue and Taxation,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
Revenue and Taxation,13-2082.00,Tax Preparers
