Career Pathway,Code,Occupation
Biotechnology Research and Development,19-1029.00,"Biological Scientists, All Other"
Biotechnology Research and Development,19-1020.01,Biologists
Biotechnology Research and Development,17-2031.00,Biomedical Engineers
Biotechnology Research and Development,15-2041.02,Clinical Data Managers
Biotechnology Research and Development,11-9121.01,Clinical Research Coordinators
Biotechnology Research and Development,15-1199.00,"Computer Occupations, All Other"
Biotechnology Research and Development,25-1071.00,"Health Specialties Teachers, Postsecondary"
Biotechnology Research and Development,15-2091.00,Mathematical Technicians
Biotechnology Research and Development,31-9093.00,Medical Equipment Preparers
Biotechnology Research and Development,19-1042.00,"Medical Scientists, Except Epidemiologists"
Biotechnology Research and Development,11-9121.00,Natural Sciences Managers
Biotechnology Research and Development,29-1051.00,Pharmacists
Diagnostic Services,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
Diagnostic Services,29-9091.00,Athletic Trainers
Diagnostic Services,29-2031.00,Cardiovascular Technologists and Technicians
Diagnostic Services,29-2011.01,Cytogenetic Technologists
Diagnostic Services,29-2011.02,Cytotechnologists
Diagnostic Services,29-2032.00,Diagnostic Medical Sonographers
Diagnostic Services,29-2041.00,Emergency Medical Technicians and Paramedics
Diagnostic Services,29-1199.00,"Health Diagnosing and Treating Practitioners, All Other"
Diagnostic Services,25-1071.00,"Health Specialties Teachers, Postsecondary"
Diagnostic Services,29-2099.00,"Health Technologists and Technicians, All Other"
Diagnostic Services,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other"
Diagnostic Services,31-9099.00,"Healthcare Support Workers, All Other"
Diagnostic Services,29-2011.03,Histotechnologists and Histologic Technicians
Diagnostic Services,29-2012.00,Medical and Clinical Laboratory Technicians
Diagnostic Services,29-2011.00,Medical and Clinical Laboratory Technologists
Diagnostic Services,11-9111.00,Medical and Health Services Managers
Diagnostic Services,31-9092.00,Medical Assistants
Diagnostic Services,31-9093.00,Medical Equipment Preparers
Diagnostic Services,29-2099.01,Neurodiagnostic Technologists
Diagnostic Services,19-4051.01,Nuclear Equipment Operation Technicians
Diagnostic Services,29-2033.00,Nuclear Medicine Technologists
Diagnostic Services,19-4051.00,Nuclear Technicians
Diagnostic Services,51-9083.00,Ophthalmic Laboratory Technicians
Diagnostic Services,29-2057.00,Ophthalmic Medical Technicians
Diagnostic Services,29-2099.05,Ophthalmic Medical Technologists
Diagnostic Services,19-2099.00,"Physical Scientists, All Other"
Diagnostic Services,29-1071.00,Physician Assistants
Diagnostic Services,29-1124.00,Radiation Therapists
Diagnostic Services,29-2099.06,Radiologic Technicians
Diagnostic Services,29-2034.00,Radiologic Technologists
Diagnostic Services,29-1069.10,Radiologists
