Career Pathway,Code,Occupation
Lodging,39-6011.00,Baggage Porters and Bellhops
Lodging,39-6012.00,Concierges
Lodging,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Lodging,11-9051.00,Food Service Managers
Lodging,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
Lodging,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Lodging,51-6011.00,Laundry and Dry-Cleaning Workers
Lodging,11-9081.00,Lodging Managers
Lodging,37-2012.00,Maids and Housekeeping Cleaners
Lodging,39-9041.00,Residential Advisors
Lodging,43-2011.00,"Switchboard Operators, Including Answering Service"
Lodging,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
"Recreation, Amusements and Attractions",39-3091.00,Amusement and Recreation Attendants
"Recreation, Amusements and Attractions",39-2011.00,Animal Trainers
"Recreation, Amusements and Attractions",27-2021.00,Athletes and Sports Competitors
"Recreation, Amusements and Attractions",25-9021.00,Farm and Home Management Advisors
"Recreation, Amusements and Attractions",39-3012.00,Gaming and Sports Book Writers and Runners
"Recreation, Amusements and Attractions",43-3041.00,Gaming Cage Workers
"Recreation, Amusements and Attractions",41-2012.00,Gaming Change Persons and Booth Cashiers
"Recreation, Amusements and Attractions",39-3011.00,Gaming Dealers
"Recreation, Amusements and Attractions",11-9071.00,Gaming Managers
"Recreation, Amusements and Attractions",39-1011.00,Gaming Supervisors
"Recreation, Amusements and Attractions",11-9081.00,Lodging Managers
"Recreation, Amusements and Attractions",39-3021.00,Motion Picture Projectionists
"Recreation, Amusements and Attractions",25-4013.00,Museum Technicians and Conservators
"Recreation, Amusements and Attractions",39-9032.00,Recreation Workers
"Recreation, Amusements and Attractions",25-3021.00,Self-Enrichment Education Teachers
"Recreation, Amusements and Attractions",27-1027.00,Set and Exhibit Designers
"Recreation, Amusements and Attractions",39-1012.00,Slot Supervisors
"Recreation, Amusements and Attractions",27-2023.00,"Umpires, Referees, and Other Sports Officials"
Restaurants and Food/Beverage Services,51-3011.00,Bakers
Restaurants and Food/Beverage Services,35-3022.01,Baristas
Restaurants and Food/Beverage Services,35-3011.00,Bartenders
Restaurants and Food/Beverage Services,51-3021.00,Butchers and Meat Cutters
Restaurants and Food/Beverage Services,35-1011.00,Chefs and Head Cooks
Restaurants and Food/Beverage Services,35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food"
Restaurants and Food/Beverage Services,35-2019.00,"Cooks, All Other"
Restaurants and Food/Beverage Services,35-2011.00,"Cooks, Fast Food"
Restaurants and Food/Beverage Services,35-2012.00,"Cooks, Institution and Cafeteria"
Restaurants and Food/Beverage Services,35-2013.00,"Cooks, Private Household"
Restaurants and Food/Beverage Services,35-2014.00,"Cooks, Restaurant"
Restaurants and Food/Beverage Services,35-2015.00,"Cooks, Short Order"
Restaurants and Food/Beverage Services,35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
Restaurants and Food/Beverage Services,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers
Restaurants and Food/Beverage Services,35-9021.00,Dishwashers
Restaurants and Food/Beverage Services,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers
Restaurants and Food/Beverage Services,35-9099.00,"Food Preparation and Serving Related Workers, All Other"
Restaurants and Food/Beverage Services,35-2021.00,Food Preparation Workers
Restaurants and Food/Beverage Services,35-3041.00,"Food Servers, Nonrestaurant"
Restaurants and Food/Beverage Services,11-9051.00,Food Service Managers
Restaurants and Food/Beverage Services,11-9071.00,Gaming Managers
Restaurants and Food/Beverage Services,35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
Restaurants and Food/Beverage Services,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
Restaurants and Food/Beverage Services,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
Restaurants and Food/Beverage Services,51-3023.00,Slaughterers and Meat Packers
Restaurants and Food/Beverage Services,35-3031.00,Waiters and Waitresses
Travel and Tourism,11-9051.00,Food Service Managers
Travel and Tourism,27-3091.00,Interpreters and Translators
Travel and Tourism,11-9081.00,Lodging Managers
Travel and Tourism,11-9199.00,"Managers, All Other"
Travel and Tourism,13-1121.00,"Meeting, Convention, and Event Planners"
Travel and Tourism,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
Travel and Tourism,39-7011.00,Tour Guides and Escorts
Travel and Tourism,53-6061.00,"Transportation Attendants, Except Flight Attendants"
Travel and Tourism,41-3041.00,Travel Agents
Travel and Tourism,39-7012.00,Travel Guides
