Career Pathway,Code,Occupation
Consumer Services,43-4051.00,Customer Service Representatives
Consumer Services,25-9021.00,Farm and Home Management Advisors
Consumer Services,27-1022.00,Fashion Designers
Consumer Services,41-1011.00,First-Line Supervisors of Retail Sales Workers
Consumer Services,25-1192.00,"Home Economics Teachers, Postsecondary"
Consumer Services,27-3091.00,Interpreters and Translators
Consumer Services,13-2071.01,Loan Counselors
Consumer Services,11-2021.00,Marketing Managers
Consumer Services,27-3043.05,"Poets, Lyricists and Creative Writers"
Consumer Services,11-9141.00,"Property, Real Estate, and Community Association Managers"
Consumer Services,27-3031.00,Public Relations Specialists
Consumer Services,11-2022.00,Sales Managers
Consumer Services,27-3042.00,Technical Writers
Consumer Services,27-3043.00,Writers and Authors
Counseling and Mental Health Services,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
Counseling and Mental Health Services,21-2011.00,Clergy
Counseling and Mental Health Services,19-3031.02,Clinical Psychologists
Counseling and Mental Health Services,19-3031.00,"Clinical, Counseling, and School Psychologists"
Counseling and Mental Health Services,19-3031.03,Counseling Psychologists
Counseling and Mental Health Services,21-1019.00,"Counselors, All Other"
Counseling and Mental Health Services,21-2021.00,"Directors, Religious Activities and Education"
Counseling and Mental Health Services,19-1041.00,Epidemiologists
Counseling and Mental Health Services,21-1091.00,Health Educators
Counseling and Mental Health Services,21-1022.00,Healthcare Social Workers
Counseling and Mental Health Services,19-3032.00,Industrial-Organizational Psychologists
Counseling and Mental Health Services,21-1013.00,Marriage and Family Therapists
Counseling and Mental Health Services,25-1022.00,"Mathematical Science Teachers, Postsecondary"
Counseling and Mental Health Services,15-2021.00,Mathematicians
Counseling and Mental Health Services,21-1023.00,Mental Health and Substance Abuse Social Workers
Counseling and Mental Health Services,21-1014.00,Mental Health Counselors
Counseling and Mental Health Services,27-2041.04,Music Composers and Arrangers
Counseling and Mental Health Services,27-2041.01,Music Directors
Counseling and Mental Health Services,27-2041.00,Music Directors and Composers
Counseling and Mental Health Services,11-9121.00,Natural Sciences Managers
Counseling and Mental Health Services,25-1126.00,"Philosophy and Religion Teachers, Postsecondary"
Counseling and Mental Health Services,29-1069.00,"Physicians and Surgeons, All Other"
Counseling and Mental Health Services,19-3039.00,"Psychologists, All Other"
Counseling and Mental Health Services,25-1066.00,"Psychology Teachers, Postsecondary"
Counseling and Mental Health Services,39-9032.00,Recreation Workers
Counseling and Mental Health Services,21-1015.00,Rehabilitation Counselors
Counseling and Mental Health Services,21-2099.00,"Religious Workers, All Other"
Counseling and Mental Health Services,19-3031.01,School Psychologists
Counseling and Mental Health Services,11-9151.00,Social and Community Service Managers
Counseling and Mental Health Services,25-1113.00,"Social Work Teachers, Postsecondary"
Counseling and Mental Health Services,19-3041.00,Sociologists
Counseling and Mental Health Services,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
Early Childhood Development and Services,39-9011.00,Childcare Workers
Early Childhood Development and Services,25-9021.00,Farm and Home Management Advisors
Early Childhood Development and Services,25-1192.00,"Home Economics Teachers, Postsecondary"
Early Childhood Development and Services,39-9011.01,Nannies
Early Childhood Development and Services,25-2011.00,"Preschool Teachers, Except Special Education"
Family and Community Services,11-1011.00,Chief Executives
Family and Community Services,21-1021.00,"Child, Family, and School Social Workers"
Family and Community Services,39-9011.00,Childcare Workers
Family and Community Services,19-4061.01,City and Regional Planning Aides
Family and Community Services,21-2011.00,Clergy
Family and Community Services,21-1019.00,"Counselors, All Other"
Family and Community Services,21-2021.00,"Directors, Religious Activities and Education"
Family and Community Services,43-4061.00,"Eligibility Interviewers, Government Programs"
Family and Community Services,11-9161.00,Emergency Management Directors
Family and Community Services,25-9021.00,Farm and Home Management Advisors
Family and Community Services,21-1022.00,Healthcare Social Workers
Family and Community Services,25-1192.00,"Home Economics Teachers, Postsecondary"
Family and Community Services,11-1031.00,Legislators
Family and Community Services,11-9199.00,"Managers, All Other"
Family and Community Services,21-1013.00,Marriage and Family Therapists
Family and Community Services,19-3094.00,Political Scientists
Family and Community Services,21-1092.00,Probation Officers and Correctional Treatment Specialists
Family and Community Services,33-9099.00,"Protective Service Workers, All Other"
Family and Community Services,39-9041.00,Residential Advisors
Family and Community Services,11-9151.00,Social and Community Service Managers
Family and Community Services,21-1093.00,Social and Human Service Assistants
Family and Community Services,19-4061.00,Social Science Research Assistants
Family and Community Services,19-3099.00,"Social Scientists and Related Workers, All Other"
Family and Community Services,25-1113.00,"Social Work Teachers, Postsecondary"
Family and Community Services,21-1029.00,"Social Workers, All Other"
Family and Community Services,19-3041.00,Sociologists
Personal Care Services,39-5011.00,Barbers
Personal Care Services,39-3092.00,Costume Attendants
Personal Care Services,39-4011.00,Embalmers
Personal Care Services,39-1021.00,First-Line Supervisors of Personal Service Workers
Personal Care Services,39-9031.00,Fitness Trainers and Aerobics Instructors
Personal Care Services,39-4021.00,Funeral Attendants
Personal Care Services,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
Personal Care Services,51-6011.00,Laundry and Dry-Cleaning Workers
Personal Care Services,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
Personal Care Services,39-5091.00,"Makeup Artists, Theatrical and Performance"
Personal Care Services,39-5092.00,Manicurists and Pedicurists
Personal Care Services,31-9011.00,Massage Therapists
Personal Care Services,39-4031.00,"Morticians, Undertakers, and Funeral Directors"
Personal Care Services,39-9021.00,Personal Care Aides
Personal Care Services,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
Personal Care Services,51-6051.00,"Sewers, Hand"
Personal Care Services,51-6031.00,Sewing Machine Operators
Personal Care Services,39-5093.00,Shampooers
Personal Care Services,39-5094.00,Skincare Specialists
Personal Care Services,51-6052.00,"Tailors, Dressmakers, and Custom Sewers"
Personal Care Services,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
