Career Pathway,Code,Occupation
Information Support and Services,15-1199.08,Business Intelligence Analysts
Information Support and Services,15-1111.00,Computer and Information Research Scientists
Information Support and Services,11-3021.00,Computer and Information Systems Managers
Information Support and Services,15-1143.00,Computer Network Architects
Information Support and Services,51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
Information Support and Services,15-1199.00,"Computer Occupations, All Other"
Information Support and Services,43-9011.00,Computer Operators
Information Support and Services,25-1021.00,"Computer Science Teachers, Postsecondary"
Information Support and Services,15-1121.00,Computer Systems Analysts
Information Support and Services,15-1199.02,Computer Systems Engineers/Architects
Information Support and Services,15-1151.00,Computer User Support Specialists
Information Support and Services,15-1141.00,Database Administrators
Information Support and Services,15-1199.12,Document Management Specialists
Information Support and Services,15-1199.09,Information Technology Project Managers
Information Support and Services,15-1142.00,Network and Computer Systems Administrators
Information Support and Services,15-1132.00,"Software Developers, Applications"
Information Support and Services,15-1133.00,"Software Developers, Systems Software"
Information Support and Services,15-1199.03,Web Administrators
Interactive Media,15-1111.00,Computer and Information Research Scientists
Interactive Media,15-1131.00,Computer Programmers
Interactive Media,15-1121.00,Computer Systems Analysts
Interactive Media,15-1132.00,"Software Developers, Applications"
Interactive Media,15-1133.00,"Software Developers, Systems Software"
Network Systems,15-1111.00,Computer and Information Research Scientists
Network Systems,11-3021.00,Computer and Information Systems Managers
Network Systems,15-1143.00,Computer Network Architects
Network Systems,15-1152.00,Computer Network Support Specialists
Network Systems,15-1199.00,"Computer Occupations, All Other"
Network Systems,15-1131.00,Computer Programmers
Network Systems,25-1021.00,"Computer Science Teachers, Postsecondary"
Network Systems,15-1199.07,Data Warehousing Specialists
Network Systems,15-1141.00,Database Administrators
Network Systems,15-1199.06,Database Architects
Network Systems,27-1024.00,Graphic Designers
Network Systems,15-1122.00,Information Security Analysts
Network Systems,27-1014.00,Multimedia Artists and Animators
Network Systems,15-1142.00,Network and Computer Systems Administrators
Network Systems,15-1132.00,"Software Developers, Applications"
Network Systems,15-1133.00,"Software Developers, Systems Software"
Network Systems,15-1143.01,Telecommunications Engineering Specialists
Programming and Software Development,11-9041.00,Architectural and Engineering Managers
Programming and Software Development,15-1111.00,Computer and Information Research Scientists
Programming and Software Development,11-3021.00,Computer and Information Systems Managers
Programming and Software Development,17-2061.00,Computer Hardware Engineers
Programming and Software Development,15-1143.00,Computer Network Architects
Programming and Software Development,51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
Programming and Software Development,15-1131.00,Computer Programmers
Programming and Software Development,25-1021.00,"Computer Science Teachers, Postsecondary"
Programming and Software Development,15-1121.00,Computer Systems Analysts
Programming and Software Development,15-1141.00,Database Administrators
Programming and Software Development,25-1032.00,"Engineering Teachers, Postsecondary"
Programming and Software Development,15-1122.00,Information Security Analysts
Programming and Software Development,15-1142.00,Network and Computer Systems Administrators
Programming and Software Development,15-1132.00,"Software Developers, Applications"
Programming and Software Development,15-1133.00,"Software Developers, Systems Software"
Programming and Software Development,15-1199.01,Software Quality Assurance Engineers and Testers
Programming and Software Development,15-1199.11,Video Game Designers
Programming and Software Development,15-1134.00,Web Developers
