Career Pathway,Code,Occupation
Correction Services,21-1021.00,"Child, Family, and School Social Workers"
Correction Services,33-3012.00,Correctional Officers and Jailers
Correction Services,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Correction Services,33-1011.00,First-Line Supervisors of Correctional Officers
Correction Services,33-1012.00,First-Line Supervisors of Police and Detectives
Correction Services,21-1092.00,Probation Officers and Correctional Treatment Specialists
Correction Services,33-9099.00,"Protective Service Workers, All Other"
Correction Services,25-1066.00,"Psychology Teachers, Postsecondary"
Correction Services,33-9032.00,Security Guards
Correction Services,21-1029.00,"Social Workers, All Other"
Emergency and Fire Management Services,13-1199.04,Business Continuity Planners
Emergency and Fire Management Services,33-3012.00,Correctional Officers and Jailers
Emergency and Fire Management Services,11-9161.00,Emergency Management Directors
Emergency and Fire Management Services,29-2041.00,Emergency Medical Technicians and Paramedics
Emergency and Fire Management Services,33-2021.01,Fire Inspectors
Emergency and Fire Management Services,33-2021.00,Fire Inspectors and Investigators
Emergency and Fire Management Services,33-2021.02,Fire Investigators
Emergency and Fire Management Services,33-2011.00,Firefighters
Emergency and Fire Management Services,33-1021.00,First-Line Supervisors of Fire Fighting and Prevention Workers
Emergency and Fire Management Services,33-1021.02,Forest Fire Fighting and Prevention Supervisors
Emergency and Fire Management Services,33-2022.00,Forest Fire Inspectors and Prevention Specialists
Emergency and Fire Management Services,33-2011.02,Forest Firefighters
Emergency and Fire Management Services,47-4041.00,Hazardous Materials Removal Workers
Emergency and Fire Management Services,33-1021.01,Municipal Fire Fighting and Prevention Supervisors
Emergency and Fire Management Services,33-2011.01,Municipal Firefighters
Emergency and Fire Management Services,43-5031.00,"Police, Fire, and Ambulance Dispatchers"
Law Enforcement Services,33-9011.00,Animal Control Workers
Law Enforcement Services,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
Law Enforcement Services,33-3011.00,Bailiffs
Law Enforcement Services,33-3012.00,Correctional Officers and Jailers
Law Enforcement Services,33-3021.03,Criminal Investigators and Special Agents
Law Enforcement Services,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Law Enforcement Services,33-3021.00,Detectives and Criminal Investigators
Law Enforcement Services,33-1012.00,First-Line Supervisors of Police and Detectives
Law Enforcement Services,19-4092.00,Forensic Science Technicians
Law Enforcement Services,33-3021.05,Immigration and Customs Inspectors
Law Enforcement Services,33-3041.00,Parking Enforcement Workers
Law Enforcement Services,33-3051.00,Police and Sheriff's Patrol Officers
Law Enforcement Services,33-3021.01,Police Detectives
Law Enforcement Services,33-3021.02,Police Identification and Records Officers
Law Enforcement Services,33-3051.01,Police Patrol Officers
Law Enforcement Services,33-9099.00,"Protective Service Workers, All Other"
Law Enforcement Services,33-3051.03,Sheriffs and Deputy Sheriffs
Law Enforcement Services,33-3052.00,Transit and Railroad Police
Law Enforcement Services,33-9093.00,Transportation Security Screeners
Legal Services,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
Legal Services,23-1022.00,"Arbitrators, Mediators, and Conciliators"
Legal Services,23-2091.00,Court Reporters
Legal Services,25-9021.00,Farm and Home Management Advisors
Legal Services,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
Legal Services,23-1012.00,Judicial Law Clerks
Legal Services,25-1112.00,"Law Teachers, Postsecondary"
Legal Services,23-1011.00,Lawyers
Legal Services,43-6012.00,Legal Secretaries
Legal Services,23-2099.00,"Legal Support Workers, All Other"
Legal Services,23-2011.00,Paralegals and Legal Assistants
Legal Services,23-2093.00,"Title Examiners, Abstractors, and Searchers"
Security and Protective Services,33-9011.00,Animal Control Workers
Security and Protective Services,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
Security and Protective Services,33-9091.00,Crossing Guards
Security and Protective Services,33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other"
Security and Protective Services,33-2011.02,Forest Firefighters
Security and Protective Services,33-9031.00,Gaming Surveillance Officers and Gaming Investigators
Security and Protective Services,33-3021.06,Intelligence Analysts
Security and Protective Services,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
Security and Protective Services,11-9199.08,Loss Prevention Managers
Security and Protective Services,33-3041.00,Parking Enforcement Workers
Security and Protective Services,33-9021.00,Private Detectives and Investigators
Security and Protective Services,33-9099.02,Retail Loss Prevention Specialists
Security and Protective Services,33-9032.00,Security Guards
Security and Protective Services,13-1199.02,Security Management Specialists
Security and Protective Services,11-9199.07,Security Managers
Security and Protective Services,33-3051.03,Sheriffs and Deputy Sheriffs
Security and Protective Services,33-3052.00,Transit and Railroad Police
