Career Pathway,Code,Occupation
"Maintenance, Installation and Repair",49-3023.02,Automotive Specialty Technicians
"Maintenance, Installation and Repair",19-4021.00,Biological Technicians
"Maintenance, Installation and Repair",49-9061.00,Camera and Photographic Equipment Repairers
"Maintenance, Installation and Repair",17-3022.00,Civil Engineering Technicians
"Maintenance, Installation and Repair",51-2021.00,"Coil Winders, Tapers, and Finishers"
"Maintenance, Installation and Repair",49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
"Maintenance, Installation and Repair",15-1151.00,Computer User Support Specialists
"Maintenance, Installation and Repair",49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
"Maintenance, Installation and Repair",47-4099.00,"Construction and Related Workers, All Other"
"Maintenance, Installation and Repair",49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
"Maintenance, Installation and Repair",17-3023.00,Electrical and Electronic Engineering Technicians
"Maintenance, Installation and Repair",51-2022.00,Electrical and Electronic Equipment Assemblers
"Maintenance, Installation and Repair",49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
"Maintenance, Installation and Repair",17-3023.03,Electrical Engineering Technicians
"Maintenance, Installation and Repair",51-2023.00,Electromechanical Equipment Assemblers
"Maintenance, Installation and Repair",49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers
"Maintenance, Installation and Repair",17-3023.01,Electronics Engineering Technicians
"Maintenance, Installation and Repair",47-4021.00,Elevator Installers and Repairers
"Maintenance, Installation and Repair",51-2031.00,Engine and Other Machine Assemblers
"Maintenance, Installation and Repair",17-3029.00,"Engineering Technicians, Except Drafters, All Other"
"Maintenance, Installation and Repair",49-9093.00,"Fabric Menders, Except Garment"
"Maintenance, Installation and Repair",25-9021.00,Farm and Home Management Advisors
"Maintenance, Installation and Repair",47-4031.00,Fence Erectors
"Maintenance, Installation and Repair",49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
"Maintenance, Installation and Repair",47-4041.00,Hazardous Materials Removal Workers
"Maintenance, Installation and Repair",49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
"Maintenance, Installation and Repair",49-9031.00,Home Appliance Repairers
"Maintenance, Installation and Repair",17-3026.00,Industrial Engineering Technicians
"Maintenance, Installation and Repair",49-9041.00,Industrial Machinery Mechanics
"Maintenance, Installation and Repair",51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers"
"Maintenance, Installation and Repair",49-9099.00,"Installation, Maintenance, and Repair Workers, All Other"
"Maintenance, Installation and Repair",27-1025.00,Interior Designers
"Maintenance, Installation and Repair",51-9071.01,Jewelers
"Maintenance, Installation and Repair",51-9071.00,Jewelers and Precious Stone and Metal Workers
"Maintenance, Installation and Repair",49-9094.00,Locksmiths and Safe Repairers
"Maintenance, Installation and Repair",49-9071.00,"Maintenance and Repair Workers, General"
"Maintenance, Installation and Repair",49-9043.00,"Maintenance Workers, Machinery"
"Maintenance, Installation and Repair",17-3031.02,Mapping Technicians
"Maintenance, Installation and Repair",17-3027.00,Mechanical Engineering Technicians
"Maintenance, Installation and Repair",51-9082.00,Medical Appliance Technicians
"Maintenance, Installation and Repair",49-9062.00,Medical Equipment Repairers
"Maintenance, Installation and Repair",49-9044.00,Millwrights
