Career Pathway,Code,Occupation
Buying and Merchandising,53-6031.00,Automotive and Watercraft Service Attendants
Buying and Merchandising,41-2011.00,Cashiers
Buying and Merchandising,41-2021.00,Counter and Rental Clerks
Buying and Merchandising,43-4051.00,Customer Service Representatives
Buying and Merchandising,43-5081.02,Marking Clerks
Buying and Merchandising,43-9061.00,"Office Clerks, General"
Buying and Merchandising,13-1199.06,Online Merchants
Buying and Merchandising,43-4151.00,Order Clerks
Buying and Merchandising,53-6021.00,Parking Lot Attendants
Buying and Merchandising,43-3061.00,Procurement Clerks
Buying and Merchandising,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
Buying and Merchandising,41-2031.00,Retail Salespersons
Buying and Merchandising,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
Buying and Merchandising,43-5081.01,"Stock Clerks, Sales Floor"
Buying and Merchandising,43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
Buying and Merchandising,41-9041.00,Telemarketers
Buying and Merchandising,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
E-Marketing,15-1131.00,Computer Programmers
E-Marketing,41-1011.00,First-Line Supervisors of Retail Sales Workers
Management and Entrepreneurship,11-2011.00,Advertising and Promotions Managers
Management and Entrepreneurship,25-1011.00,"Business Teachers, Postsecondary"
Management and Entrepreneurship,11-2021.00,Marketing Managers
Management and Entrepreneurship,11-2022.00,Sales Managers
Marketing Communications and Promotion,11-2022.00,Sales Managers
Marketing Information Management and Research,25-1011.00,"Business Teachers, Postsecondary"
Marketing Information Management and Research,13-1161.00,Market Research Analysts and Marketing Specialists
Marketing Information Management and Research,11-2021.00,Marketing Managers
Marketing Information Management and Research,19-3022.00,Survey Researchers
Professional Sales and Marketing,13-2021.00,Appraisers and Assessors of Real Estate
Professional Sales and Marketing,13-2021.02,"Appraisers, Real Estate"
Professional Sales and Marketing,13-2021.01,Assessors
Professional Sales and Marketing,41-2011.00,Cashiers
Professional Sales and Marketing,41-2021.00,Counter and Rental Clerks
Professional Sales and Marketing,41-9011.00,Demonstrators and Product Promoters
Professional Sales and Marketing,41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
Professional Sales and Marketing,53-3031.00,Driver/Sales Workers
Professional Sales and Marketing,27-1022.00,Fashion Designers
Professional Sales and Marketing,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
Professional Sales and Marketing,41-1011.00,First-Line Supervisors of Retail Sales Workers
Professional Sales and Marketing,27-1023.00,Floral Designers
Professional Sales and Marketing,41-2012.00,Gaming Change Persons and Booth Cashiers
Professional Sales and Marketing,11-2011.01,Green Marketers
Professional Sales and Marketing,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
Professional Sales and Marketing,27-1025.00,Interior Designers
Professional Sales and Marketing,11-9081.00,Lodging Managers
Professional Sales and Marketing,11-2021.00,Marketing Managers
Professional Sales and Marketing,43-5081.02,Marking Clerks
Professional Sales and Marketing,13-1121.00,"Meeting, Convention, and Event Planners"
Professional Sales and Marketing,27-1026.00,Merchandise Displayers and Window Trimmers
Professional Sales and Marketing,41-9012.00,Models
Professional Sales and Marketing,43-5081.04,"Order Fillers, Wholesale and Retail Sales"
Professional Sales and Marketing,41-2022.00,Parts Salespersons
Professional Sales and Marketing,11-9141.00,"Property, Real Estate, and Community Association Managers"
Professional Sales and Marketing,41-9021.00,Real Estate Brokers
Professional Sales and Marketing,41-9022.00,Real Estate Sales Agents
Professional Sales and Marketing,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
Professional Sales and Marketing,41-2031.00,Retail Salespersons
Professional Sales and Marketing,41-9099.00,"Sales and Related Workers, All Other"
Professional Sales and Marketing,41-9031.00,Sales Engineers
Professional Sales and Marketing,41-3099.00,"Sales Representatives, Services, All Other"
Professional Sales and Marketing,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
Professional Sales and Marketing,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
Professional Sales and Marketing,15-1199.10,Search Marketing Strategists
Professional Sales and Marketing,41-4011.07,Solar Sales Representatives and Assessors
Professional Sales and Marketing,43-5081.00,Stock Clerks and Order Fillers
Professional Sales and Marketing,43-5081.01,"Stock Clerks, Sales Floor"
Professional Sales and Marketing,43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
Professional Sales and Marketing,41-9041.00,Telemarketers
Professional Sales and Marketing,53-6061.00,"Transportation Attendants, Except Flight Attendants"
Professional Sales and Marketing,41-3041.00,Travel Agents
Professional Sales and Marketing,39-7012.00,Travel Guides
Professional Sales and Marketing,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
