Career Pathway,Code,Occupation
Engineering and Technology,17-2011.00,Aerospace Engineers
Engineering and Technology,17-2021.00,Agricultural Engineers
Engineering and Technology,17-3011.00,Architectural and Civil Drafters
Engineering and Technology,11-9041.00,Architectural and Engineering Managers
Engineering and Technology,17-3011.01,Architectural Drafters
Engineering and Technology,25-1031.00,"Architecture Teachers, Postsecondary"
Engineering and Technology,17-3027.01,Automotive Engineering Technicians
Engineering and Technology,17-2141.02,Automotive Engineers
Engineering and Technology,17-2199.01,Biochemical Engineers
Engineering and Technology,17-2031.00,Biomedical Engineers
Engineering and Technology,17-2041.00,Chemical Engineers
Engineering and Technology,17-3011.02,Civil Drafters
Engineering and Technology,17-2051.00,Civil Engineers
Engineering and Technology,17-2061.00,Computer Hardware Engineers
Engineering and Technology,13-1051.00,Cost Estimators
Engineering and Technology,17-3019.00,"Drafters, All Other"
Engineering and Technology,25-9099.00,"Education, Training, and Library Workers, All Other"
Engineering and Technology,17-3023.00,Electrical and Electronic Engineering Technicians
Engineering and Technology,17-3012.00,Electrical and Electronics Drafters
Engineering and Technology,17-3012.02,Electrical Drafters
Engineering and Technology,17-3023.03,Electrical Engineering Technicians
Engineering and Technology,17-3029.02,Electrical Engineering Technologists
Engineering and Technology,17-2071.00,Electrical Engineers
Engineering and Technology,17-3024.00,Electro-Mechanical Technicians
Engineering and Technology,17-3029.03,Electromechanical Engineering Technologists
Engineering and Technology,17-3012.01,Electronic Drafters
Engineering and Technology,17-3023.01,Electronics Engineering Technicians
Engineering and Technology,17-3029.04,Electronics Engineering Technologists
Engineering and Technology,17-2072.00,"Electronics Engineers, Except Computer"
Engineering and Technology,17-2199.03,Energy Engineers
Engineering and Technology,25-1032.00,"Engineering Teachers, Postsecondary"
Engineering and Technology,17-3029.00,"Engineering Technicians, Except Drafters, All Other"
Engineering and Technology,17-2199.00,"Engineers, All Other"
Engineering and Technology,17-2081.00,Environmental Engineers
Engineering and Technology,17-2111.02,Fire-Prevention and Protection Engineers
Engineering and Technology,17-2141.01,Fuel Cell Engineers
Engineering and Technology,17-3029.10,Fuel Cell Technicians
Engineering and Technology,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
Engineering and Technology,17-2112.01,Human Factors Engineers and Ergonomists
Engineering and Technology,17-3026.00,Industrial Engineering Technicians
Engineering and Technology,17-3029.05,Industrial Engineering Technologists
Engineering and Technology,17-2112.00,Industrial Engineers
Engineering and Technology,17-2111.01,Industrial Safety and Health Engineers
Engineering and Technology,13-1081.01,Logistics Engineers
Engineering and Technology,17-3029.06,Manufacturing Engineering Technologists
Engineering and Technology,17-2199.04,Manufacturing Engineers
Engineering and Technology,17-3031.02,Mapping Technicians
Engineering and Technology,17-2121.02,Marine Architects
Engineering and Technology,17-2121.01,Marine Engineers
Engineering and Technology,17-2121.00,Marine Engineers and Naval Architects
Engineering and Technology,17-2131.00,Materials Engineers
Engineering and Technology,17-3029.07,Mechanical Engineering Technologists
Engineering and Technology,17-2141.00,Mechanical Engineers
Engineering and Technology,17-2199.05,Mechatronics Engineers
Engineering and Technology,17-2199.06,Microsystems Engineers
Engineering and Technology,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers"
Engineering and Technology,17-2199.09,Nanosystems Engineers
Engineering and Technology,17-3029.12,Nanotechnology Engineering Technicians
Engineering and Technology,17-3029.11,Nanotechnology Engineering Technologists
Engineering and Technology,17-2161.00,Nuclear Engineers
Engineering and Technology,19-4051.01,Nuclear Equipment Operation Technicians
Engineering and Technology,19-4051.02,Nuclear Monitoring Technicians
Engineering and Technology,19-4051.00,Nuclear Technicians
Engineering and Technology,17-2171.00,Petroleum Engineers
Engineering and Technology,17-2199.07,Photonics Engineers
Engineering and Technology,17-2111.03,Product Safety Engineers
Engineering and Technology,11-3051.01,Quality Control Systems Managers
Engineering and Technology,17-2199.08,Robotics Engineers
Engineering and Technology,17-2199.11,Solar Energy Systems Engineers
Engineering and Technology,17-3031.00,Surveying and Mapping Technicians
Engineering and Technology,17-3031.01,Surveying Technicians
Engineering and Technology,27-3042.00,Technical Writers
Engineering and Technology,17-2051.01,Transportation Engineers
Engineering and Technology,17-2199.02,Validation Engineers
Engineering and Technology,17-2081.01,Water/Wastewater Engineers
Engineering and Technology,17-2199.10,Wind Energy Engineers
Science and Math,19-4011.00,Agricultural and Food Science Technicians
Science and Math,19-4011.01,Agricultural Technicians
Science and Math,19-3091.01,Anthropologists
Science and Math,19-3091.00,Anthropologists and Archeologists
Science and Math,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
Science and Math,19-3091.02,Archeologists
Science and Math,11-9041.00,Architectural and Engineering Managers
Science and Math,25-4011.00,Archivists
